sep=,
"Time","Electrolyser Power (W)","Electrolyser Production Rate (%)","Hydrogen Flow Rate (NL/h)","Electrolyser Stack Voltage (V)","Electrolyser Stack Current (A)","Container PV Power (W)"
2024-07-10 14:09:35,,,,,,3878
2024-07-10 14:09:36,,,,,,3780
2024-07-10 14:09:38,,,,,,3719
2024-07-10 14:09:39,,,,,,3837
2024-07-10 14:09:40,,,,,,3975
2024-07-10 14:09:41,,,,,,4048
2024-07-10 14:09:42,,,,,,4060
2024-07-10 14:09:43,,,,,,4083
2024-07-10 14:09:44,,,,,,4100
2024-07-10 14:09:45,,,,,,4104
2024-07-10 14:09:46,,,,,,4142
2024-07-10 14:09:47,,,,,,4137
2024-07-10 14:09:48,,,,,,4136
2024-07-10 14:09:49,,,,,,4154
2024-07-10 14:09:50,,,,,,4158
2024-07-10 14:09:51,,,,,,4175
2024-07-10 14:09:52,,,,,,4186
2024-07-10 14:09:53,,,,,,4197
2024-07-10 14:09:54,,,,,,4195
2024-07-10 14:09:55,,,,,,4232
2024-07-10 14:09:56,,,,,,4229
2024-07-10 14:09:57,,,,,,4258
2024-07-10 14:09:58,,,,,,4283
2024-07-10 14:09:59,,,,,,4316
2024-07-10 14:10:00,,,,,,3970
2024-07-10 14:10:01,,,,,,2113
2024-07-10 14:10:02,,,,,,2242
2024-07-10 14:10:03,,,,,,3231
2024-07-10 14:10:04,,,,,,3074
2024-07-10 14:10:05,,,,,,2461
2024-07-10 14:10:06,,,,,,2194
2024-07-10 14:10:07,,,,,,1555
2024-07-10 14:10:08,,,,,,1304
2024-07-10 14:10:09,,,,,,1304
2024-07-10 14:10:10,,,,,,1116
2024-07-10 14:10:11,,,,,,1078
2024-07-10 14:10:12,,,,,,1014
2024-07-10 14:10:13,,,,,,999
2024-07-10 14:10:14,,,,,,1024
2024-07-10 14:10:15,,,,,,1035
2024-07-10 14:10:16,,,,,,1017
2024-07-10 14:10:17,,,,,,1047
2024-07-10 14:10:18,,,,,,1091
2024-07-10 14:10:19,,,,,,1199
2024-07-10 14:10:20,,,,,,1268
2024-07-10 14:10:21,,,,,,1562
2024-07-10 14:10:22,,,,,,2693
2024-07-10 14:10:23,,,,,,3490
2024-07-10 14:10:24,,,,,,4226
2024-07-10 14:10:25,,,,,,4381
2024-07-10 14:10:26,,,,,,4306
2024-07-10 14:10:27,,,,,,4357
2024-07-10 14:10:28,,,,,,4342
2024-07-10 14:10:29,,,,,,4320
2024-07-10 14:10:30,,,,,,4304
2024-07-10 14:10:31,,,,,,4283
2024-07-10 14:10:32,,,,,,4263
2024-07-10 14:10:33,,,,,,4235
2024-07-10 14:10:34,,,,,,4171
2024-07-10 14:10:35,,,,,,4146
2024-07-10 14:10:36,,,,,,4228
2024-07-10 14:10:37,,,,,,4215
2024-07-10 14:10:38,,,,,,4221
2024-07-10 14:10:39,,,,,,3996
2024-07-10 14:10:40,,,,,,4005
2024-07-10 14:10:41,,,,,,4055
