name,time,application_id,device_id,measurement_id,value_float
Seasonal_Storage_System,2024-08-05T00:00:04.06Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.33
Seasonal_Storage_System,2024-08-05T00:00:09.06Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.33
Seasonal_Storage_System,2024-08-05T00:00:14.062Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.09
Seasonal_Storage_System,2024-08-05T00:00:19.064Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.09
Seasonal_Storage_System,2024-08-05T00:00:24.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.85
Seasonal_Storage_System,2024-08-05T00:00:29.063Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.6
Seasonal_Storage_System,2024-08-05T00:00:34.064Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.38
Seasonal_Storage_System,2024-08-05T00:00:39.064Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.28
Seasonal_Storage_System,2024-08-05T00:00:44.073Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.4
Seasonal_Storage_System,2024-08-05T00:00:49.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.28
Seasonal_Storage_System,2024-08-05T00:00:54.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.42
Seasonal_Storage_System,2024-08-05T00:00:59.066Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.43
Seasonal_Storage_System,2024-08-05T00:01:04.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.65
Seasonal_Storage_System,2024-08-05T00:01:09.066Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.39
Seasonal_Storage_System,2024-08-05T00:01:14.069Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.51
Seasonal_Storage_System,2024-08-05T00:01:19.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.51
Seasonal_Storage_System,2024-08-05T00:01:24.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.49
Seasonal_Storage_System,2024-08-05T00:01:29.066Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.72
Seasonal_Storage_System,2024-08-05T00:01:34.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.6
Seasonal_Storage_System,2024-08-05T00:01:39.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.83
Seasonal_Storage_System,2024-08-05T00:01:44.067Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.59
Seasonal_Storage_System,2024-08-05T00:01:49.065Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.6
Seasonal_Storage_System,2024-08-05T00:01:54.066Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.48
Seasonal_Storage_System,2024-08-05T00:01:59.066Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.36
Seasonal_Storage_System,2024-08-05T00:02:04.078Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.36
Seasonal_Storage_System,2024-08-05T00:02:09.075Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.49
Seasonal_Storage_System,2024-08-05T00:02:14.075Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.73
Seasonal_Storage_System,2024-08-05T00:02:19.075Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,24.84
Seasonal_Storage_System,2024-08-05T00:02:24.074Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.09
Seasonal_Storage_System,2024-08-05T00:02:29.075Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.21
Seasonal_Storage_System,2024-08-05T00:02:34.074Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.21
Seasonal_Storage_System,2024-08-05T00:02:39.074Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.21
Seasonal_Storage_System,2024-08-05T00:02:44.08Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.08
Seasonal_Storage_System,2024-08-05T00:02:49.075Z,Heat Management,Temperature Monitoring,Hydrogen Cabinet Temperature,25.08
