name,time,application_id,device_id,measurement_id,value_float
Seasonal_Storage_System,2024-08-05T00:00:58.125Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.76
Seasonal_Storage_System,2024-08-05T00:01:58.062Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.68
Seasonal_Storage_System,2024-08-05T00:02:58.13Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.51
Seasonal_Storage_System,2024-08-05T00:03:58.159Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.43
Seasonal_Storage_System,2024-08-05T00:04:58.668Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.43
Seasonal_Storage_System,2024-08-05T00:05:58.458Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.43
Seasonal_Storage_System,2024-08-05T00:06:58.46Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.34
Seasonal_Storage_System,2024-08-05T00:07:58.46Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.34
Seasonal_Storage_System,2024-08-05T00:08:58.467Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.34
Seasonal_Storage_System,2024-08-05T00:09:58.467Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.34
Seasonal_Storage_System,2024-08-05T00:10:58.467Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.34
Seasonal_Storage_System,2024-08-05T00:11:58.461Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.43
Seasonal_Storage_System,2024-08-05T00:12:58.467Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.43
Seasonal_Storage_System,2024-08-05T00:13:58.461Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.34
Seasonal_Storage_System,2024-08-05T00:14:58.468Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.43
Seasonal_Storage_System,2024-08-05T00:15:58.467Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.51
Seasonal_Storage_System,2024-08-05T00:16:58.464Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.51
Seasonal_Storage_System,2024-08-05T00:17:58.462Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.34
Seasonal_Storage_System,2024-08-05T00:18:58.464Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.26
Seasonal_Storage_System,2024-08-05T00:19:58.463Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.26
Seasonal_Storage_System,2024-08-05T00:20:58.473Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.26
Seasonal_Storage_System,2024-08-05T00:21:58.486Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.17
Seasonal_Storage_System,2024-08-05T00:22:58.557Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.09
Seasonal_Storage_System,2024-08-05T00:23:58.567Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.09
Seasonal_Storage_System,2024-08-05T00:24:58.568Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.01
Seasonal_Storage_System,2024-08-05T00:25:58.575Z,Hydrogen Buffer,Pressure Transmitter,Maximum Pressure,242.09
