"Time","Seasonal_Storage_System, Battery System, Battery (), Current (Battery current. Positive means charging, negative means discharging.) [A]"
2024-07-29 00:00:00,-3.22
2024-07-29 00:30:00,-3.20
2024-07-29 01:00:00,-5.04
2024-07-29 01:30:00,-5.02
2024-07-29 02:00:00,-5.01
2024-07-29 02:30:00,-4.98
2024-07-29 03:00:00,-5.02
2024-07-29 03:30:00,-5.03
2024-07-29 04:00:00,-5.04
2024-07-29 04:30:00,-5.11
2024-07-29 05:00:00,-5.10
2024-07-29 05:30:00,-5.11
2024-07-29 06:00:00,-4.90
2024-07-29 06:30:00,-3.57
2024-07-29 07:00:00,-0.326
2024-07-29 07:30:00,1.08
2024-07-29 08:00:00,2.05
2024-07-29 08:30:00,2.83
2024-07-29 09:00:00,3.58
2024-07-29 09:30:00,3.94
2024-07-29 10:00:00,4.81
2024-07-29 10:30:00,7.39
2024-07-29 11:00:00,16.4
2024-07-29 11:30:00,33.6
2024-07-29 12:00:00,49.1
2024-07-29 12:30:00,50.0
2024-07-29 13:00:00,23.4
2024-07-29 13:30:00,24.3
2024-07-29 14:00:00,29.0
2024-07-29 14:30:00,7.14
2024-07-29 15:00:00,0.242
2024-07-29 15:30:00,0.0975
2024-07-29 16:00:00,0.0495
2024-07-29 16:30:00,0.0298
2024-07-29 17:00:00,0.0281
2024-07-29 17:30:00,0.0513
2024-07-29 18:00:00,0.00384
2024-07-29 18:30:00,0.0324
2024-07-29 19:00:00,-3.57
2024-07-29 19:30:00,-15.9
2024-07-29 20:00:00,-38.4
2024-07-29 20:30:00,-50.2
2024-07-29 21:00:00,-30.9
2024-07-29 21:30:00,-3.27
2024-07-29 22:00:00,-3.23
2024-07-29 22:30:00,-3.23
2024-07-29 23:00:00,-3.21
2024-07-29 23:30:00,-3.22
2024-07-30 00:00:00,-3.24
2024-07-30 00:30:00,-3.22
2024-07-30 01:00:00,-5.01
2024-07-30 01:30:00,-5.04
2024-07-30 02:00:00,-5.04
2024-07-30 02:30:00,-5.05
2024-07-30 03:00:00,-5.06
2024-07-30 03:30:00,-5.06
2024-07-30 04:00:00,-5.08
2024-07-30 04:30:00,-5.07
2024-07-30 05:00:00,-5.06
2024-07-30 05:30:00,-5.05
2024-07-30 06:00:00,-4.95
2024-07-30 06:30:00,-4.12
2024-07-30 07:00:00,-0.827
2024-07-30 07:30:00,0.445
2024-07-30 08:00:00,-0.239
2024-07-30 08:30:00,2.63
2024-07-30 09:00:00,3.56
2024-07-30 09:30:00,3.40
2024-07-30 10:00:00,7.63
2024-07-30 10:30:00,8.71
2024-07-30 11:00:00,18.0
2024-07-30 11:30:00,31.4
2024-07-30 12:00:00,47.0
2024-07-30 12:30:00,57.8
2024-07-30 13:00:00,40.5
2024-07-30 13:30:00,1.42
2024-07-30 14:00:00,0.198
2024-07-30 14:30:00,0.0834
2024-07-30 15:00:00,0.0759
2024-07-30 15:30:00,0.0363
2024-07-30 16:00:00,0.0269
2024-07-30 16:30:00,0.0207
2024-07-30 17:00:00,0.0132
2024-07-30 17:30:00,0.0169
2024-07-30 18:00:00,0.0164
2024-07-30 18:30:00,0.0113
2024-07-30 19:00:00,-2.18
2024-07-30 19:30:00,-19.7
2024-07-30 20:00:00,-57.0
2024-07-30 20:30:00,-41.2
2024-07-30 21:00:00,-27.3
2024-07-30 21:30:00,-3.27
2024-07-30 22:00:00,-3.21
2024-07-30 22:30:00,-3.20
2024-07-30 23:00:00,-3.21
2024-07-30 23:30:00,-3.20
2024-07-31 00:00:00,-3.21
2024-07-31 00:30:00,-3.19
2024-07-31 01:00:00,-4.76
2024-07-31 01:30:00,-4.99
2024-07-31 02:00:00,-4.98
2024-07-31 02:30:00,-5.02
2024-07-31 03:00:00,-5.06
2024-07-31 03:30:00,-5.09
2024-07-31 04:00:00,-5.08
2024-07-31 04:30:00,-5.06
2024-07-31 05:00:00,-5.00
2024-07-31 05:30:00,-5.06
2024-07-31 06:00:00,-4.96
2024-07-31 06:30:00,-3.19
2024-07-31 07:00:00,1.06
2024-07-31 07:30:00,2.48
2024-07-31 08:00:00,5.98
2024-07-31 08:30:00,8.53
2024-07-31 09:00:00,10.1
2024-07-31 09:30:00,16.4
2024-07-31 10:00:00,17.5
2024-07-31 10:30:00,22.9
2024-07-31 11:00:00,22.7
2024-07-31 11:30:00,17.0
2024-07-31 12:00:00,-3.30
2024-07-31 12:30:00,14.8
2024-07-31 13:00:00,19.5
2024-07-31 13:30:00,-11.3
2024-07-31 14:00:00,16.7
2024-07-31 14:30:00,14.6
2024-07-31 15:00:00,29.8
2024-07-31 15:30:00,-20.7
2024-07-31 16:00:00,33.1
2024-07-31 16:30:00,10.7
2024-07-31 17:00:00,0.230
2024-07-31 17:30:00,0.0550
2024-07-31 18:00:00,0.0391
2024-07-31 18:30:00,-13.0
2024-07-31 19:00:00,-4.26
2024-07-31 19:30:00,-23.6
2024-07-31 20:00:00,-42.3
2024-07-31 20:30:00,-39.8
2024-07-31 21:00:00,-35.2
