# Renewables.ninja Weather (Point API) - 52.011, 4.358 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Amsterdam, t2m in ºC, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "t2m": "\u00baC", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "52.0114017", "lon": "4.35839", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m,swgdn
2019-01-01 00:00,2019-01-01 01:00,7.928,0
2019-01-01 01:00,2019-01-01 02:00,8.023,0
2019-01-01 02:00,2019-01-01 03:00,8.107,0
2019-01-01 03:00,2019-01-01 04:00,8.162,0
2019-01-01 04:00,2019-01-01 05:00,8.232,0
2019-01-01 05:00,2019-01-01 06:00,8.287,0
2019-01-01 06:00,2019-01-01 07:00,8.381,0
2019-01-01 07:00,2019-01-01 08:00,8.444,0
2019-01-01 08:00,2019-01-01 09:00,8.508,8.356
2019-01-01 09:00,2019-01-01 10:00,8.658,47.706
2019-01-01 10:00,2019-01-01 11:00,8.930,143.197
2019-01-01 11:00,2019-01-01 12:00,9.057,183.001
2019-01-01 12:00,2019-01-01 13:00,8.937,214.739
2019-01-01 13:00,2019-01-01 14:00,8.558,160.610
2019-01-01 14:00,2019-01-01 15:00,8.014,76.417
2019-01-01 15:00,2019-01-01 16:00,7.294,7.056
2019-01-01 16:00,2019-01-01 17:00,7.008,0
2019-01-01 17:00,2019-01-01 18:00,6.921,0
2019-01-01 18:00,2019-01-01 19:00,6.791,0
2019-01-01 19:00,2019-01-01 20:00,6.609,0
2019-01-01 20:00,2019-01-01 21:00,6.336,0
2019-01-01 21:00,2019-01-01 22:00,5.945,0
2019-01-01 22:00,2019-01-01 23:00,5.733,0
2019-01-01 23:00,2019-01-02 00:00,5.653,0
2019-01-02 00:00,2019-01-02 01:00,5.740,0
2019-01-02 01:00,2019-01-02 02:00,5.944,0
2019-01-02 02:00,2019-01-02 03:00,6.080,0
2019-01-02 03:00,2019-01-02 04:00,5.973,0
2019-01-02 04:00,2019-01-02 05:00,5.752,0
2019-01-02 05:00,2019-01-02 06:00,5.561,0
2019-01-02 06:00,2019-01-02 07:00,5.376,0
2019-01-02 07:00,2019-01-02 08:00,5.352,0.165
2019-01-02 08:00,2019-01-02 09:00,5.753,37.132
2019-01-02 09:00,2019-01-02 10:00,6.530,115.328
2019-01-02 10:00,2019-01-02 11:00,7.080,179.917
2019-01-02 11:00,2019-01-02 12:00,7.349,198.844
2019-01-02 12:00,2019-01-02 13:00,7.378,199.063
2019-01-02 13:00,2019-01-02 14:00,7.166,147.863
2019-01-02 14:00,2019-01-02 15:00,6.523,72.117
2019-01-02 15:00,2019-01-02 16:00,5.231,6.804
2019-01-02 16:00,2019-01-02 17:00,4.774,0
2019-01-02 17:00,2019-01-02 18:00,4.534,0
2019-01-02 18:00,2019-01-02 19:00,4.258,0
2019-01-02 19:00,2019-01-02 20:00,4.038,0
2019-01-02 20:00,2019-01-02 21:00,3.953,0
2019-01-02 21:00,2019-01-02 22:00,3.909,0
2019-01-02 22:00,2019-01-02 23:00,4.158,0
2019-01-02 23:00,2019-01-03 00:00,4.258,0
2019-01-03 00:00,2019-01-03 01:00,4.275,0
2019-01-03 01:00,2019-01-03 02:00,4.269,0
2019-01-03 02:00,2019-01-03 03:00,4.216,0
2019-01-03 03:00,2019-01-03 04:00,4.147,0
2019-01-03 04:00,2019-01-03 05:00,4.159,0
2019-01-03 05:00,2019-01-03 06:00,4.211,0
2019-01-03 06:00,2019-01-03 07:00,4.056,0
2019-01-03 07:00,2019-01-03 08:00,4.030,0.164
2019-01-03 08:00,2019-01-03 09:00,4.495,28.588
2019-01-03 09:00,2019-01-03 10:00,5.454,84.948
2019-01-03 10:00,2019-01-03 11:00,5.969,129.167
2019-01-03 11:00,2019-01-03 12:00,6.299,164.889
2019-01-03 12:00,2019-01-03 13:00,6.411,144.404
2019-01-03 13:00,2019-01-03 14:00,6.346,101.720
2019-01-03 14:00,2019-01-03 15:00,5.958,53.285
2019-01-03 15:00,2019-01-03 16:00,5.002,5.952
2019-01-03 16:00,2019-01-03 17:00,4.737,0
2019-01-03 17:00,2019-01-03 18:00,4.682,0
2019-01-03 18:00,2019-01-03 19:00,4.605,0
2019-01-03 19:00,2019-01-03 20:00,4.566,0
2019-01-03 20:00,2019-01-03 21:00,4.490,0
2019-01-03 21:00,2019-01-03 22:00,4.529,0
2019-01-03 22:00,2019-01-03 23:00,4.700,0
2019-01-03 23:00,2019-01-04 00:00,4.655,0
2019-01-04 00:00,2019-01-04 01:00,4.354,0
2019-01-04 01:00,2019-01-04 02:00,4.156,0
2019-01-04 02:00,2019-01-04 03:00,4.142,0
2019-01-04 03:00,2019-01-04 04:00,4.141,0
2019-01-04 04:00,2019-01-04 05:00,4.039,0
2019-01-04 05:00,2019-01-04 06:00,4.137,0
2019-01-04 06:00,2019-01-04 07:00,4.295,0
2019-01-04 07:00,2019-01-04 08:00,4.372,0.127
2019-01-04 08:00,2019-01-04 09:00,4.658,18.047
2019-01-04 09:00,2019-01-04 10:00,5.095,80.616
2019-01-04 10:00,2019-01-04 11:00,5.364,126.484
2019-01-04 11:00,2019-01-04 12:00,5.522,141.692
2019-01-04 12:00,2019-01-04 13:00,5.614,145.276
2019-01-04 13:00,2019-01-04 14:00,5.706,81.182
2019-01-04 14:00,2019-01-04 15:00,5.761,31.095
2019-01-04 15:00,2019-01-04 16:00,5.815,3.173
2019-01-04 16:00,2019-01-04 17:00,6.023,0
2019-01-04 17:00,2019-01-04 18:00,6.268,0
2019-01-04 18:00,2019-01-04 19:00,6.454,0
2019-01-04 19:00,2019-01-04 20:00,6.488,0
2019-01-04 20:00,2019-01-04 21:00,6.568,0
2019-01-04 21:00,2019-01-04 22:00,6.592,0
2019-01-04 22:00,2019-01-04 23:00,6.582,0
2019-01-04 23:00,2019-01-05 00:00,6.609,0
2019-01-05 00:00,2019-01-05 01:00,6.612,0
2019-01-05 01:00,2019-01-05 02:00,6.643,0
2019-01-05 02:00,2019-01-05 03:00,6.666,0
2019-01-05 03:00,2019-01-05 04:00,6.719,0
2019-01-05 04:00,2019-01-05 05:00,6.774,0
2019-01-05 05:00,2019-01-05 06:00,6.927,0
2019-01-05 06:00,2019-01-05 07:00,6.995,0
2019-01-05 07:00,2019-01-05 08:00,6.977,0.138
2019-01-05 08:00,2019-01-05 09:00,7.079,17.221
2019-01-05 09:00,2019-01-05 10:00,7.305,47.870
2019-01-05 10:00,2019-01-05 11:00,7.450,65.939
2019-01-05 11:00,2019-01-05 12:00,7.495,78.235
2019-01-05 12:00,2019-01-05 13:00,7.473,92.806
2019-01-05 13:00,2019-01-05 14:00,7.373,80.879
2019-01-05 14:00,2019-01-05 15:00,7.091,38.023
2019-01-05 15:00,2019-01-05 16:00,6.709,3.884
2019-01-05 16:00,2019-01-05 17:00,6.493,0
2019-01-05 17:00,2019-01-05 18:00,6.356,0
2019-01-05 18:00,2019-01-05 19:00,6.220,0
2019-01-05 19:00,2019-01-05 20:00,6.173,0
2019-01-05 20:00,2019-01-05 21:00,6.247,0
2019-01-05 21:00,2019-01-05 22:00,6.277,0
2019-01-05 22:00,2019-01-05 23:00,6.182,0
2019-01-05 23:00,2019-01-06 00:00,6.038,0
2019-01-06 00:00,2019-01-06 01:00,5.880,0
2019-01-06 01:00,2019-01-06 02:00,5.564,0
2019-01-06 02:00,2019-01-06 03:00,5.211,0
2019-01-06 03:00,2019-01-06 04:00,5.099,0
2019-01-06 04:00,2019-01-06 05:00,4.986,0
2019-01-06 05:00,2019-01-06 06:00,4.939,0
2019-01-06 06:00,2019-01-06 07:00,5.009,0
2019-01-06 07:00,2019-01-06 08:00,5.016,0.224
2019-01-06 08:00,2019-01-06 09:00,5.436,24.083
2019-01-06 09:00,2019-01-06 10:00,6.293,68.539
2019-01-06 10:00,2019-01-06 11:00,6.921,120.482
2019-01-06 11:00,2019-01-06 12:00,7.223,150.105
2019-01-06 12:00,2019-01-06 13:00,7.397,155.265
2019-01-06 13:00,2019-01-06 14:00,7.351,113.494
2019-01-06 14:00,2019-01-06 15:00,6.832,51.107
2019-01-06 15:00,2019-01-06 16:00,5.828,6.758
2019-01-06 16:00,2019-01-06 17:00,5.436,0
2019-01-06 17:00,2019-01-06 18:00,5.157,0
2019-01-06 18:00,2019-01-06 19:00,5.035,0
2019-01-06 19:00,2019-01-06 20:00,4.971,0
2019-01-06 20:00,2019-01-06 21:00,4.706,0
2019-01-06 21:00,2019-01-06 22:00,4.619,0
2019-01-06 22:00,2019-01-06 23:00,4.765,0
2019-01-06 23:00,2019-01-07 00:00,4.977,0
2019-01-07 00:00,2019-01-07 01:00,5.030,0
2019-01-07 01:00,2019-01-07 02:00,5.164,0
2019-01-07 02:00,2019-01-07 03:00,5.308,0
2019-01-07 03:00,2019-01-07 04:00,5.497,0
2019-01-07 04:00,2019-01-07 05:00,5.780,0
2019-01-07 05:00,2019-01-07 06:00,6.079,0
2019-01-07 06:00,2019-01-07 07:00,6.415,0
2019-01-07 07:00,2019-01-07 08:00,6.723,0.096
2019-01-07 08:00,2019-01-07 09:00,7.201,10.914
2019-01-07 09:00,2019-01-07 10:00,7.685,25.991
2019-01-07 10:00,2019-01-07 11:00,7.956,36.804
2019-01-07 11:00,2019-01-07 12:00,8.193,60.113
2019-01-07 12:00,2019-01-07 13:00,8.258,63.058
2019-01-07 13:00,2019-01-07 14:00,8.218,56.075
2019-01-07 14:00,2019-01-07 15:00,8.069,31.226
2019-01-07 15:00,2019-01-07 16:00,7.908,1.872
2019-01-07 16:00,2019-01-07 17:00,8.018,0
2019-01-07 17:00,2019-01-07 18:00,8.187,0
2019-01-07 18:00,2019-01-07 19:00,8.370,0
2019-01-07 19:00,2019-01-07 20:00,8.553,0
2019-01-07 20:00,2019-01-07 21:00,8.845,0
2019-01-07 21:00,2019-01-07 22:00,9.019,0
